membership:sample_set_id	sample_id	first_term	second_term	key
exac_full_set5	01-0249	01	0249	-248
exac_full_set5	01-0263	01	0263	-262
exac_full_set5	01-0266	01	0266	-265
exac_full_set5	01-0390	01	0390	-389
exac_full_set5	01-0423	01	0423	-422
exac_full_set5	01-0469	01	0469	-468
exac_full_set5	01-0504	01	0504	-503
exac_full_set5	01-0505	01	0505	-504
exac_full_set5	01-0512	01	0512	-511
exac_full_set5	02-0006	02	0006	-4
exac_full_set5	02-0009	02	0009	-7
exac_full_set5	02-0021	02	0021	-19
exac_full_set5	02-0029	02	0029	-27
exac_full_set5	02-0032	02	0032	-30
exac_full_set5	02-0039	02	0039	-37
exac_full_set5	02-0053	02	0053	-51
exac_full_set5	02-0056	02	0056	-54
exac_full_set5	02-0057	02	0057	-55
exac_full_set5	04-0059	04	0059	-55
exac_full_set5	04-0313	04	0313	-309
exac_full_set5	05-0019	05	0019	-14
exac_full_set5	05-0159	05	0159	-154
exac_full_set5	05-0227	05	0227	-222
exac_full_set5	05-0277	05	0277	-272
exac_full_set5	07-0061	07	0061	-54
exac_full_set5	07-0081	07	0081	-74
exac_full_set5	07-0082	07	0082	-75
exac_full_set5	07-0141	07	0141	-134
exac_full_set5	07-0202	07	0202	-195
exac_full_set5	08-0083	08	0083	-75
exac_full_set5	08-0139	08	0139	-131
exac_full_set5	08-0247	08	0247	-239
exac_full_set5	08-0328	08	0328	-320
exac_full_set5	08-0339	08	0339	-331
exac_full_set5	08-0346	08	0346	-338
exac_full_set5	08-0443	08	0443	-435
exac_full_set5	08-0592	08	0592	-584
exac_full_set5	08-0655	08	0655	-647
exac_full_set5	08-0682	08	0682	-674
exac_full_set5	08-0704	08	0704	-696
exac_full_set5	08-0743	08	0743	-735
exac_full_set5	08-0775	08	0775	-767
exac_full_set5	08-0787	08	0787	-779
exac_full_set5	08-0790	08	0790	-782
exac_full_set5	13-0034	13	0034	-21
exac_full_set5	13-0042	13	0042	-29
exac_full_set5	13-0053	13	0053	-40
exac_full_set5	13-0074	13	0074	-61
exac_full_set5	13-0133	13	0133	-120
exac_full_set5	20-0030	20	0030	-10
exac_full_set5	20-0033	20	0033	-13
exac_full_set5	20-0045	20	0045	-25
exac_full_set5	20-0068	20	0068	-48
exac_full_set5	20-0069	20	0069	-49
exac_full_set5	20-0115	20	0115	-95
exac_full_set5	20-0126	20	0126	-106
exac_full_set5	20-0150	20	0150	-130
exac_full_set5	20-0162	20	0162	-142
exac_full_set5	200701-42	200701	42	200659
exac_full_set5	201693-64	201693	64	201629
exac_full_set5	202027-51	202027	51	201976
exac_full_set5	202228-58	202228	58	202170
exac_full_set5	202547-30	202547	30	202517
exac_full_set5	202553-30	202553	30	202523
exac_full_set5	203305-69	203305	69	203236
exac_full_set5	203618-53	203618	53	203565
exac_full_set5	204251-30	204251	30	204221
exac_full_set5	205374-30	205374	30	205344
exac_full_set5	205499-68	205499	68	205431
exac_full_set5	205796-33	205796	33	205763
exac_full_set5	206556-40	206556	40	206516
exac_full_set5	206691-53	206691	53	206638
exac_full_set5	207232-65	207232	65	207167
exac_full_set5	208487-30	208487	30	208457
exac_full_set5	209007-68	209007	68	208939
exac_full_set5	209135-74	209135	74	209061
exac_full_set5	209145-40	209145	40	209105
exac_full_set5	209146-45	209146	45	209101
exac_full_set5	209509-50	209509	50	209459
exac_full_set5	209541-66	209541	66	209475
exac_full_set5	209943-48	209943	48	209895
exac_full_set5	210313-51	210313	51	210262
exac_full_set5	210412-68	210412	68	210344
exac_full_set5	210655-48	210655	48	210607
exac_full_set5	210712-41	210712	41	210671
exac_full_set5	211463-50	211463	50	211413
exac_full_set5	211988-40	211988	40	211948
exac_full_set5	212219-40	212219	40	212179
exac_full_set5	212721-50	212721	50	212671
exac_full_set5	213795-49	213795	49	213746
exac_full_set5	213813-51	213813	51	213762
exac_full_set5	213901-56	213901	56	213845
exac_full_set5	214219-50	214219	50	214169
exac_full_set5	214226-70	214226	70	214156
exac_full_set5	214317-75	214317	75	214242
exac_full_set5	214334-51	214334	51	214283
exac_full_set5	214642-52	214642	52	214590
exac_full_set5	214974-60	214974	60	214914
exac_full_set5	216633-72	216633	72	216561
exac_full_set5	217039-30	217039	30	217009
exac_full_set5	217094-74	217094	74	217020
exac_full_set5	217641-59	217641	59	217582
exac_full_set5	217660-93	217660	93	217567
exac_full_set5	219105-66	219105	66	219039
exac_full_set5	219186-63	219186	63	219123
exac_full_set5	219209-55	219209	55	219154
exac_full_set5	219745-30	219745	30	219715
exac_full_set5	22-0022	22	0022	0
exac_full_set5	220436-80	220436	80	220356
exac_full_set5	220504-46	220504	46	220458
exac_full_set5	220506-52	220506	52	220454
exac_full_set5	220724-61	220724	61	220663
exac_full_set5	220789-56	220789	56	220733
exac_full_set5	221529-49	221529	49	221480
exac_full_set5	221720-47	221720	47	221673
exac_full_set5	222034-64	222034	64	221970
exac_full_set5	222672-30	222672	30	222642
exac_full_set5	222758-48	222758	48	222710
exac_full_set5	222873-83	222873	83	222790
exac_full_set5	224174-48	224174	48	224126
exac_full_set5	224521-47	224521	47	224474
