	Quantile
TG_C_T	10.0
TA_C_T	3.099999999999909
TC_C_T	5.0
TT_C_T	4.0
TG_C_G	2.0
TA_C_G	2.0
TC_C_G	2.0
TT_C_G	3.0
CG_C_G	2.0
AT_C_T	4.0
AG_C_A	1.0
AA_C_A	2.0
AC_C_A	2.0
AT_C_A	2.0
AG_C_G	1.0
GT_C_T	5.0
GG_C_G	1.0
GA_C_G	2.0
GC_C_G	2.0
GT_C_G	2.0
TG_A_G	2.0
TC_A_C	1.0
TG_A_T	1.0
TA_A_T	1.0
TC_A_T	1.0
TT_A_T	1.0
CG_A_G	5.0
CG_A_C	2.0
CA_A_C	2.0
CC_A_C	1.0
CT_A_C	2.0
CT_A_T	2.0
AG_A_G	3.0
AC_A_C	1.0
AT_A_T	1.0
GG_A_G	2.0
GA_A_G	2.0
GC_A_G	2.0
GT_A_G	2.0
GC_A_C	1.0
GT_A_T	2.0
TG_G_T	2.0
TA_G_T	2.0
TC_G_T	2.0
TT_G_T	2.0
TA_G_A	4.0
TC_G_C	1.0
CT_G_T	1.0
CA_G_A	9.0
CG_G_C	2.0
CA_G_C	1.0
CC_G_C	1.0
CT_G_C	1.0
AT_G_T	1.0
AG_G_A	5.0
AA_G_A	4.0
AC_G_A	5.0
AT_G_A	4.0
AC_G_C	2.0
GT_G_T	2.0
GA_G_A	5.0
GC_G_C	2.0
TG_T_G	2.0
TC_T_C	2.0
TA_T_A	1.0
CG_T_G	2.0
CG_T_C	4.0
CA_T_C	2.0
CC_T_C	3.0
CT_T_C	3.0
CA_T_A	1.0
AG_T_G	2.0
AC_T_C	3.0
AG_T_A	2.0
AA_T_A	1.0
AC_T_A	2.0
AT_T_A	1.0
GG_T_G	2.0
GA_T_G	1.0
GC_T_G	1.0
GT_T_G	1.0
GC_T_C	2.0
GA_T_A	1.0
