#ANKRD26	
ASXL1	NM_015338
ASXL2	NM_018263
#ATM	
#ATRX	
#B2M	
BCOR	NM_001123385
BCORL1	NM_021946
BRAF	NM_004333
#BRCA1	
#BRCA2	
BRCC3	NM_024332
#BRIP1	
#CALR	
CBL	NM_005188
CBLB	NM_170662
CEBPA	NM_004364
CREBBP	NM_004380
CSF1R	NM_005211
CSF3R	NM_000760
#CSNK1A1	
#CTC1	
CTCF	NM_006565
CUX1	NM_181552
#DDX41	
#DKC1	
DNMT3A	NM_022552
EED	NM_003797
#ELANE	
EP300	NM_001429
#ERCC4	
ETNK1	NM_018638
ETV6	NM_001987
EZH2	NM_004456
#FANCA	
#FANCB	
#FANCC	
#FANCD2	
#FANCE	
#FANCF	
#FANCG	
#FANCI	
#FANCL	
#FANCM	
FLT3	NM_004119
#G6PC3	
GATA1	NM_004119
GATA2	NM_032638
GNA13	NM_006572
#GFI1	
GNAS	NM_016592
GNB1	NM_002074
#HAX1	
IDH1	NM_005896
IDH2	NM_002168
IKZF1	NM_006060
IKZF2	NM_016260
IKZF3	NM_012481
JAK1	NM_002227
JAK2	NM_004972
JAK3	NM_000215
KDM6A	NM_021140
KIT	NM_000222
KRAS	NM_004985
LUC7L2	NM_016019
#MIR_something	
MPL	NM_005933
MLL	NM_005933
MLL2	NM_003482
#MRE11A	
MYD88	NM_002468
#MYH9	
#NBN	
NF1	NM_000267
#NHP2	
#NOP10	
NOTCH1	NM_017617
#NOTCH2	
NPM1	NM_002520
NRAS	NM_002524
#PALB2	
PDS5B	NM_015032
PDSS2	NM_020381
PHF6	NM_001015877
#PIGA	
PHIP	NM_017934
#PIGT	
PPM1D	NM_003620
PRPF40B	NM_001031698
PRPF8	NM_006445
PTEN	NM_000314
PTPN11	NM_002834
RAD21	NM_006265
#RAD51C	
RIT1	NM_006912
#RMRP	
#RPL11	
#RPL23	
#RPL26	
#RPL35A	
#RPL36	
#RPL5	
#RPS10	
#RPS15	
#RPS17	
#RPS19	
#RPS24	
#RPS26	
#RPS27A	
#RPS29	
#RPS7	
RUNX1	NM_001001890
#SBDS	
SETBP1	NM_015559
SETD2	NM_014159
SETBP1	NM_001145415
SF1	NM_004630
SF3A1	NM_005877
SF3B1	NM_012433
SH2B3	NM_005475
#SLX4	
SMC1A	NM_006306
SMC3	NM_005445
SRSF2	NM_003016
STAG1	NM_005862
STAG2	NM_001042749 
#STAT3	
#STAT5B	
SUZ12	NM_015355
#TERC	
#TERT	
TET2	NM_001127208
#TINF2	
TP53	NM_001126112
U2AF1	NM_006758
U2AF2	NM_007279
#VPS45	
#WAS	
#WRAP53	
WT1	NM_024426
#XRCC2	
ZRSR2	NM_005089
