gene	chr	start	end
A1BG	19	58858386	58858397
A1BG	19	58858717	58859008
A1BG	19	58861734	58862019
A1BG	19	58862755	58863055
A1BG	19	58863647	58863923
A1BG	19	58864292	58864565
A1BG	19	58864656	58864695
A1BG	19	58864768	58864805
A2LD1	13	101184382	101184847
A2M	12	9220417	9220437
A2M	12	9220777	9220822
A2M	12	9221334	9221440
A2M	12	9222339	9222411
A2M	12	9223082	9223176
A2M	12	9224953	9225084
A2M	12	9225247	9225469
A2M	12	9227154	9227381
A2M	12	9229350	9229534
A2M	12	9229940	9230018
A2M	12	9230295	9230455
A2M	12	9231838	9231929
A2M	12	9232233	9232413
A2M	12	9232688	9232775
A2M	12	9241794	9241849
A2M	12	9242496	9242621
A2M	12	9242950	9243080
A2M	12	9243795	9244027
A2M	12	9246059	9246177
A2M	12	9247567	9247682
A2M	12	9248133	9248298
A2M	12	9251201	9251354
A2M	12	9251975	9252121
A2M	12	9253738	9253805
A2M	12	9254041	9254272
A2M	12	9256833	9256998
A2M	12	9258830	9258943
A2M	12	9259085	9259203
A2M	12	9260118	9260242
A2M	12	9261915	9262003
A2M	12	9262461	9262633
A2M	12	9262908	9262932
A2M	12	9264753	9264809
A2M	12	9264971	9265134
A2M	12	9265954	9266141
A2M	12	9268358	9268447
AAAS	12	53701271	53701499
AAAS	12	53701627	53701715
AAAS	12	53701834	53701919
AAAS	12	53702064	53702135
AAAS	12	53702217	53702314
AAAS	12	53702507	53702601
AAAS	12	53702742	53702806
AAAS	12	53702939	53703067
AAAS	12	53703383	53703507
AAAS	12	53708080	53708227
AAAS	12	53708533	53708635
AAAS	12	53708876	53708926
AAAS	12	53709117	53709212
AAAS	12	53709509	53709568
AAAS	12	53714347	53714478
AAAS	12	53715125	53715251
AACS	12	125550129	125550265
AACS	12	125558420	125558527
AACS	12	125561035	125561159
AACS	12	125570874	125570991
AACS	12	125575970	125576071
AACS	12	125587223	125587341
AACS	12	125587544	125587629
AACS	12	125591665	125591816
AACS	12	125599021	125599105
AACS	12	125603185	125603313
AACS	12	125609249	125609317
AACS	12	125609446	125609572
AACS	12	125612705	125612822
AACS	12	125613879	125614008
AACS	12	125618547	125618620
AACS	12	125619338	125619400
AACS	12	125621206	125621412
AACS	12	125626636	125626777
AADAT	4	170982077	170982122
AADAT	4	170983041	170983146
AADAT	4	170985868	170985978
AADAT	4	170987563	170987631
AADAT	4	170988476	170988541
AADAT	4	170989740	170989840
AADAT	4	170990297	170990383
AADAT	4	170991736	170991805
AADAT	4	170994285	170994498
AADAT	4	170999658	170999736
AADAT	4	171008265	171008401
AADAT	4	171009545	171009717
AADAT	4	171010773	171010843
AAGAB	15	67495157	67495238
AAGAB	15	67495884	67495937
AAGAB	15	67496380	67496488
AAGAB	15	67500898	67500998
AAGAB	15	67501798	67501884
AAGAB	15	67524150	67524237
AAGAB	15	67528315	67528408
AAGAB	15	67528744	67528844
AAGAB	15	67528966	67529160
AAGAB	15	67546895	67546971
AAK1	2	69702999	69703097
AAK1	2	69704010	69704124
AAK1	2	69706081	69706195
AAK1	2	69707990	69708095
AAK1	2	69709841	69709946
AAK1	2	69723115	69723214
AAK1	2	69732699	69732807
AAK1	2	69734551	69734712
AAK1	2	69736361	69736594
AAK1	2	69741601	69741883
AAK1	2	69746084	69746374
AAK1	2	69747964	69748122
AAK1	2	69752163	69752246
AAK1	2	69754346	69754453
AAK1	2	69757138	69757274
AAK1	2	69757755	69757840
AAK1	2	69759171	69759296
AAK1	2	69769653	69769799
AAK1	2	69771566	69771678
AAK1	2	69783990	69784112
AAK1	2	69870008	69870174
AAMP	2	219129254	219129333
AAMP	2	219129741	219129899
AAMP	2	219130092	219130186
AAMP	2	219130300	219130407
AAMP	2	219130552	219130671
AAMP	2	219130785	219130872
AAMP	2	219131164	219131312
AAMP	2	219131568	219131711
AAMP	2	219132215	219132338
AAMP	2	219134103	219134259
AAMP	2	219134687	219134811
AARS	16	70286622	70286811
AARS	16	70287169	70287286
AARS	16	70287615	70287705
AARS	16	70287820	70287943
AARS	16	70288522	70288639
AARS	16	70289629	70289741
AARS	16	70291934	70292122
AARS	16	70292881	70293091
AARS	16	70294945	70295062
AARS	16	70296247	70296429
AARS	16	70298859	70299007
AARS	16	70299439	70299567
AARS	16	70301560	70301714
AARS	16	70302172	70302284
AARS	16	70303519	70303668
AARS	16	70304097	70304245
AARS	16	70305682	70305877
AARS	16	70310387	70310536
AARS	16	70310867	70311059
AARS	16	70316521	70316668
AARS2	6	44268282	44268450
AARS2	6	44268891	44269005
AARS2	6	44269116	44269203
AARS2	6	44269795	44269909
AARS2	6	44270126	44270252
AARS2	6	44270537	44270649
AARS2	6	44270801	44270914
AARS2	6	44271021	44271162
AARS2	6	44271916	44272060
AARS2	6	44272155	44272272
AARS2	6	44272380	44272556
AARS2	6	44272789	44272937
AARS2	6	44273388	44273525
AARS2	6	44274015	44274130
AARS2	6	44274229	44274271
AARS2	6	44274658	44274770
AARS2	6	44274984	44275133
AARS2	6	44278034	44278182
AARS2	6	44278729	44278900
AARS2	6	44279125	44279274
AARS2	6	44279807	44280002
AARS2	6	44280816	44281062
AARSD1	17	41102608	41102747
AARSD1	17	41103815	41103913
AARSD1	17	41105739	41105797
AARSD1	17	41106891	41106986
AARSD1	17	41107173	41107243
AARSD1	17	41107857	41107991
AARSD1	17	41108219	41108339
AARSD1	17	41108419	41108579
AARSD1	17	41109153	41109214
AARSD1	17	41113207	41113370
AARSD1	17	41116121	41116256
AARSD1	17	41121163	41121205
AARSD1	17	41122304	41122361
AARSD1	17	41123622	41123715
AARSD1	17	41131185	41131287
AARSD1	17	41131393	41131463
AARSD1	17	41131565	41131682
AARSD1	17	41132061	41132201
AASDH	4	57204566	57204959
AASDH	4	57208999	57209134
AASDH	4	57209726	57209852
AASDH	4	57211291	57211458
AASDH	4	57215427	57216226
AASDH	4	57217506	57217625
AASDH	4	57219568	57219764
AASDH	4	57220203	57220379
AASDH	4	57220869	57220979
AASDH	4	57221346	57221591
AASDH	4	57237615	57237811
AASDH	4	57244312	57244632
AASDH	4	57248641	57248765
AASDH	4	57250234	57250467
AASDHPPT	11	105948436	105948622
AASDHPPT	11	105950192	105950421
AASDHPPT	11	105961282	105961407
AASDHPPT	11	105962041	105962206
AASDHPPT	11	105965308	105965383
AASDHPPT	11	105967468	105967636
AASS	7	121716541	121716663
AASS	7	121717890	121718070
AASS	7	121718914	121719006
AASS	7	121719649	121719768
AASS	7	121721552	121721651
AASS	7	121726064	121726235
AASS	7	121731755	121731899
AASS	7	121732895	121733007
AASS	7	121733100	121733214
AASS	7	121738502	121738632
AASS	7	121738797	121738922
AASS	7	121741423	121741494
AASS	7	121741673	121741736
AASS	7	121753170	121753285
AASS	7	121753650	121753776
AASS	7	121755126	121755278
AASS	7	121756685	121756816
AASS	7	121756931	121757013
AASS	7	121758359	121758509
AASS	7	121758615	121758686
AASS	7	121766427	121766515
AASS	7	121769413	121769593
AASS	7	121773569	121773782
AATF	17	35306424	35306518
AATF	17	35307512	35307707
AATF	17	35310184	35310598
AATF	17	35311068	35311209
AATF	17	35343914	35344032
AATF	17	35345816	35346021
AATF	17	35346544	35346712
AATF	17	35348071	35348158
AATF	17	35376302	35376373
AATF	17	35378231	35378315
AATF	17	35388909	35388984
AATF	17	35413899	35413966
ABAT	16	8829595	8829668
ABAT	16	8839856	8839957
ABAT	16	8841963	8841996
ABAT	16	8844277	8844398
ABAT	16	8851612	8851665
ABAT	16	8857924	8858008
ABAT	16	8858593	8858689
ABAT	16	8860063	8860129
ABAT	16	8862048	8862115
ABAT	16	8862680	8862832
ABAT	16	8866635	8866776
ABAT	16	8868745	8868916
ABAT	16	8870199	8870349
ABAT	16	8873334	8873449
ABAT	16	8875164	8875289
ABCA1	9	107546594	107546738
ABCA1	9	107547675	107547922
ABCA1	9	107548577	107548673
ABCA1	9	107549152	107549259
ABCA1	9	107550199	107550337
ABCA1	9	107550705	107550850
ABCA1	9	107553201	107553311
ABCA1	9	107554215	107554281
ABCA1	9	107555065	107555189
ABCA1	9	107555450	107555583
ABCA1	9	107556666	107556793
ABCA1	9	107558332	107558480
ABCA1	9	107558588	107558707
ABCA1	9	107560700	107560881
ABCA1	9	107562098	107562271
ABCA1	9	107562789	107562867
ABCA1	9	107564333	107564442
ABCA1	9	107565563	107565599
ABCA1	9	107566905	107567003
ABCA1	9	107568520	107568713
ABCA1	9	107571745	107571847
ABCA1	9	107573079	107573207
ABCA1	9	107574853	107575005
ABCA1	9	107576397	107576514
ABCA1	9	107576706	107576758
ABCA1	9	107578422	107578628
ABCA1	9	107579611	107579687
ABCA1	9	107580942	107581166
ABCA1	9	107581865	107582006
ABCA1	9	107582206	107582352
ABCA1	9	107583654	107583789
ABCA1	9	107584775	107584950
ABCA1	9	107586744	107586861
ABCA1	9	107587962	107588170
ABCA1	9	107589227	107589452
ABCA1	9	107591195	107591421
ABCA1	9	107593204	107593384
ABCA1	9	107593901	107594110
ABCA1	9	107594853	107595054
ABCA1	9	107599259	107599379
ABCA1	9	107599707	107599850
ABCA1	9	107602558	107602802
ABCA1	9	107607756	107607852
ABCA1	9	107620801	107620981
ABCA1	9	107623958	107624083
ABCA1	9	107645318	107645440
ABCA1	9	107646706	107646851
ABCA1	9	107651381	107651478
ABCA1	9	107665893	107665962
ABCA10	17	67144966	67145068
ABCA10	17	67145172	67145231
ABCA10	17	67146123	67146206
ABCA10	17	67148182	67148326
ABCA10	17	67148501	67148624
ABCA10	17	67149444	67149542
ABCA10	17	67149610	67149689
ABCA10	17	67149970	67150152
ABCA10	17	67150374	67150469
ABCA10	17	67151158	67151279
ABCA10	17	67151944	67152068
ABCA10	17	67152971	67153066
ABCA10	17	67160213	67160297
ABCA10	17	67161103	67161226
ABCA10	17	67170420	67170537
ABCA10	17	67170746	67170920
ABCA10	17	67171545	67171656
ABCA10	17	67178292	67178433
ABCA10	17	67178814	67178951
ABCA10	17	67181616	67181786
ABCA10	17	67183820	67184022
ABCA10	17	67186497	67186620
ABCA10	17	67187315	67187458
ABCA10	17	67188702	67188796
ABCA10	17	67189249	67189391
ABCA10	17	67189632	67189755
ABCA10	17	67189953	67190132
ABCA10	17	67190524	67190638
ABCA10	17	67193203	67193265
ABCA10	17	67197639	67197811
ABCA10	17	67210843	67210994
ABCA10	17	67211954	67212143
ABCA10	17	67212356	67212501
ABCA10	17	67215684	67215914
ABCA10	17	67217931	67218038
ABCA10	17	67218672	67218840
ABCA10	17	67221464	67221501
ABCA12	2	215797356	215797467
ABCA12	2	215798800	215798941
ABCA12	2	215802232	215802341
ABCA12	2	215807647	215807743
ABCA12	2	215809723	215809830
ABCA12	2	215812144	215812282
ABCA12	2	215813318	215813463
ABCA12	2	215813762	215813875
ABCA12	2	215815601	215815809
ABCA12	2	215818576	215818833
ABCA12	2	215819924	215820087
ABCA12	2	215821385	215821504
ABCA12	2	215822999	215823180
ABCA12	2	215823746	215823804
ABCA12	2	215831570	215831679
ABCA12	2	215833442	215833533
ABCA12	2	215834995	215835126
ABCA12	2	215838671	215838768
ABCA12	2	215839500	215839590
ABCA12	2	215840507	215840763
ABCA12	2	215843038	215843192
ABCA12	2	215843526	215843766
ABCA12	2	215845205	215845369
ABCA12	2	215846909	215847109
ABCA12	2	215848369	215848591
ABCA12	2	215851264	215851454
ABCA12	2	215852369	215852519
ABCA12	2	215854051	215854189
ABCA12	2	215854274	215854347
ABCA12	2	215855424	215855757
ABCA12	2	215862417	215862535
ABCA12	2	215865427	215865746
ABCA12	2	215866280	215866463
ABCA12	2	215868931	215869025
ABCA12	2	215872449	215872572
ABCA12	2	215875053	215875196
ABCA12	2	215876161	215876375
ABCA12	2	215876693	215876861
ABCA12	2	215880212	215880389
ABCA12	2	215882730	215882858
ABCA12	2	215884058	215884174
ABCA12	2	215884262	215884522
ABCA12	2	215890395	215890505
ABCA12	2	215891542	215891664
ABCA12	2	215896543	215896653
ABCA12	2	215901675	215901791
ABCA12	2	215910559	215910741
ABCA12	2	215914348	215914537
ABCA12	2	215917209	215917310
ABCA12	2	215919295	215919390
ABCA12	2	215928787	215928944
ABCA12	2	215976318	215976415
ABCA12	2	216002861	216002933
ABCA13	7	48237832	48237959
ABCA13	7	48258949	48259104
ABCA13	7	48260876	48260908
ABCA13	7	48266857	48267024
ABCA13	7	48269420	48269554
ABCA13	7	48273613	48273750
ABCA13	7	48278836	48279004
ABCA13	7	48280462	48280665
ABCA13	7	48284171	48284302
ABCA13	7	48285107	48285211
ABCA13	7	48285458	48285629
ABCA13	7	48287834	48288043
ABCA13	7	48288807	48288950
ABCA13	7	48308575	48308693
ABCA13	7	48311382	48316164
ABCA13	7	48317689	48319519
ABCA13	7	48320938	48321051
ABCA13	7	48327555	48327677
ABCA13	7	48335295	48335462
ABCA13	7	48336827	48336910
ABCA13	7	48337961	48338086
ABCA13	7	48349542	48349740
ABCA13	7	48352662	48352830
ABCA13	7	48353827	48354008
ABCA13	7	48356752	48356895
ABCA13	7	48375017	48375134
ABCA13	7	48377960	48378054
ABCA13	7	48390238	48390418
ABCA13	7	48391776	48392086
ABCA13	7	48407389	48407507
ABCA13	7	48411763	48412096
ABCA13	7	48413942	48414015
ABCA13	7	48416036	48416171
ABCA13	7	48427417	48427558
ABCA13	7	48428635	48428819
ABCA13	7	48431516	48431738
ABCA13	7	48443278	48443478
ABCA13	7	48450115	48450276
ABCA13	7	48451948	48452182
ABCA13	7	48467361	48467470
ABCA13	7	48494632	48494885
ABCA13	7	48506551	48506644
ABCA13	7	48511125	48511198
ABCA13	7	48520631	48520753
ABCA13	7	48522671	48522762
ABCA13	7	48528831	48528943
ABCA13	7	48545930	48545988
ABCA13	7	48547466	48547647
ABCA13	7	48550678	48550797
ABCA13	7	48556319	48556479
ABCA13	7	48559635	48559892
ABCA13	7	48563842	48564038
ABCA13	7	48567830	48567943
ABCA13	7	48619818	48619972
ABCA13	7	48626748	48626886
